Sample Index,Sample ID1,Weight [g],Salinity
1,junkA,80.821,30.58
2,junkB,80.719,30.58
3,junkC,80.05,30.3
4,junkD,79.521,30.3
5,junkE,80.504,30.3
6,crmA,80.357,33.464
7,crmB,79.978,33.464
8,crmC,79.303,33.464
9,crmD,79.603,33.464
10,crmE,80.961,33.464
11,crmF,80.274,33.464
